id;count;sample:E00944164-S0001plqA-A0000Rep1_IonCode_0230;sample:E00944165-S0001plqA-A0000Rep1_IonCode_0231;sample:E00944166-S0001plqA-A0000Rep1_IonCode_0232;sample:E00944168-S0001plqA-A0000Rep1_IonCode_0233;sample:E00944194-S0001plqA-A0000Rep1_IonCode_0234;sample:E00944195-S0001plqA-A0000Rep1_IonCode_0235;sample:E00944196-S0001plqA-A0000Rep1_IonCode_0236;sample:E00944200-S0001plqA-A0000Rep1_IonCode_0237;sample:E00944201-S0001plqA-A0000Rep1_IonCode_0238;sample:E00944203-S0001plqA-A0000Rep1_IonCode_0240;sample:E00944205-S0001plqA-A0000Rep1_IonCode_0242;sample:E00944206-S0001plqA-A0000Rep1_IonCode_0243;sample:E00944208-S0001plqA-A0000Rep1_IonCode_0244;sample:E00944209-S0001plqA-A0000Rep1_IonCode_0245;sample:E00944210-S0001plqA-A0000Rep1_IonCode_0246;sample:E00944211-S0001plqA-A0000Rep1_IonCode_0247;sample:E00944213-S0001plqA-A0000Rep1_IonCode_0248;sample:E00944215-S0001plqA-A0000Rep1_IonCode_0249;sample:E00944217-S0001plqA-A0000Rep1_IonCode_0250;sample:E00944218-S0001plqA-A0000Rep1_IonCode_0251;sample:E00944563-S0001plqA-A0000Rep1_IonCode_0266;sample:E00944564-S0001plqA-A0000Rep1_IonCode_0267;sample:E00963479-S0001plqA-A0000Rep1_IonCode_0202;sample:E00963480-S0001plqA-A0000Rep1_IonCode_0203;sample:E00963481-S0001plqA-A0000Rep1_IonCode_0204;sample:E00963487-S0001plqA-A0000Rep1_IonCode_0205;sample:E00963489-S0001plqA-A0000Rep1_IonCode_0206;sample:E00963503-S0001plqA-A0000Rep1_IonCode_0207;sample:E00963504-S0001plqA-A0000Rep1_IonCode_0208;sample:E00963513-S0001plqA-A0000Rep1_IonCode_0209;sample:E00963514-S0001plqA-A0000Rep1_IonCode_0210;sample:E00963678-S0001plqA-A0000Rep1_IonCode_0211;sample:E00963680-S0001plqA-A0000Rep1_IonCode_0212;sample:E00963683-S0001plqA-A0000Rep1_IonCode_0213;sample:E00963715-S0001plqA-A0000Rep1_IonCode_0268;sample:E00963717-S0001plqA-A0000Rep1_IonCode_0269;sample:E00963721-S0001plqA-A0000Rep1_IonCode_0270;sample:E00963722-S0001plqA-A0000Rep1_IonCode_0271;sample:E00963725-S0001plqA-A0000Rep1_IonCode_0272;sample:E00963726-S0001plqA-A0000Rep1_IonCode_0273;sample:E00963727-S0001plqA-A0000Rep1_IonCode_0274;sample:E00963728-S0001plqA-A0000Rep1_IonCode_0275;sample:E00963729-S0001plqA-A0000Rep1_IonCode_0276;sample:E00963731-S0001plqA-A0000Rep1_IonCode_0277;sample:E00963732-S0001plqA-A0000Rep1_IonCode_0278;sample:E00963734-S0001plqA-A0000Rep1_IonCode_0280;sample:E00963736-S0001plqA-A0000Rep1_IonCode_0282;sample:E00963738-S0001plqA-A0000Rep1_IonCode_0283;sample:E00963739-S0001plqA-A0000Rep1_IonCode_0284;sample:E00963744-S0001plqA-A0000Rep1_IonCode_0252;sample:E00963749-S0001plqA-A0000Rep1_IonCode_0253;sample:E00963754-S0001plqA-A0000Rep1_IonCode_0254;sample:E00963758-S0001plqA-A0000Rep1_IonCode_0255;sample:E00963760-S0001plqA-A0000Rep1_IonCode_0256;sample:E00963814-S0001plqA-A0000Rep1_IonCode_0257;sample:E00963840-S0001plqA-A0000Rep1_IonCode_0285;sample:E00963849-S0001plqA-A0000Rep1_IonCode_0287;sample:E00963851-S0001plqA-A0000Rep1_IonCode_0288;sample:E00963854-S0001plqA-A0000Rep1_IonCode_0289;sample:E00963858-S0001plqA-A0000Rep1_IonCode_0290;sample:E00963860-S0001plqA-A0000Rep1_IonCode_0291;sample:E00963861-S0001plqA-A0000Rep1_IonCode_0292;sample:E00963862-S0001plqA-A0000Rep1_IonCode_0293;sample:E00963863-S0001plqA-A0000Rep1_IonCode_0294;sample:E00963872-S0001plqA-A0000Rep1_IonCode_0215;sample:E00963876-S0001plqA-A0000Rep1_IonCode_0216;sample:E00963878-S0001plqA-A0000Rep1_IonCode_0217;sample:E00963882-S0001plqA-A0000Rep1_IonCode_0218;sample:E00963887-S0001plqA-A0000Rep1_IonCode_0219;sample:E00963888-S0001plqA-A0000Rep1_IonCode_0220;sample:E00982243-S0001plqA-A0000Rep1_IonCode_0258;sample:E00982245-S0001plqA-A0000Rep1_IonCode_0259;sample:E00982261-S0001plqA-A0000Rep1_IonCode_0260;sample:E00982267-S0001plqA-A0000Rep1_IonCode_0261;sample:E00982269-S0001plqA-A0000Rep1_IonCode_0262;sample:E00982272-S0001plqA-A0000Rep1_IonCode_0263;sample:E00982274-S0001plqA-A0000Rep1_IonCode_0264;sample:E00982275-S0001plqA-A0000Rep1_IonCode_0265;sample:E00982463-S0001plqA-A0000Rep1_IonCode_0222;sample:E00982464-S0001plqA-A0000Rep1_IonCode_0223;sample:E00982467-S0001plqA-A0000Rep1_IonCode_0224;sample:E00982468-S0001plqA-A0000Rep1_IonCode_0225;sample:E00982469-S0001plqA-A0000Rep1_IonCode_0226;sample:E00982473-S0001plqA-A0000Rep1_IonCode_0227;sample:E00982474-S0001plqA-A0000Rep1_IonCode_0228;sample:E00982498-S0001plqA-A0000Rep1_IonCode_0295
P8S2G:03984:06585_SUB_SUB;11120;0;0;0;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;889;0;0;0;0;0;0;0;0;75;0;0;1;0;0;0;0;0;0;0;2;2;0;6;19;5268;1;4841;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
P8S2G:04261:06786_SUB_SUB;1504;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;109;0;0;0;0;0;0;0;0;17;0;0;1;0;0;0;0;0;0;0;0;0;0;0;5;557;0;810;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
P8S2G:04266:06841_SUB_SUB;4111;0;0;0;17;0;0;0;0;99;1;0;0;0;47;0;14;71;4;1;55;1;0;0;1;0;0;3;0;2;0;0;0;0;0;0;0;39;41;8;0;2;0;14;0;0;438;0;777;16;0;0;35;69;0;71;36;27;0;0;642;300;666;61;87;0;0;0;0;0;0;128;31;0;0;7;0;0;0;0;0;0;0;0;0;6;294
P8S2G:04422:06417_SUB_SUB;898;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;23;15;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;19;0;0;48;0;96;4;0;0;3;10;0;3;3;0;0;0;340;149;54;0;0;0;0;0;0;0;0;30;1;0;0;0;0;0;0;0;0;0;0;0;0;0;93
P8S2G:04553:06452_SUB_SUB;1069;618;0;0;1;27;0;0;5;0;0;56;15;206;2;0;2;3;0;21;113;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
P8S2G:01199:05776_SUB_SUB;425;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;250;0;141;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
P8S2G:00466:02513_SUB_SUB;643;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;48;0;0;0;0;0;0;0;0;9;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;299;0;283;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
P8S2G:00586:02177_SUB_SUB;428;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;133;0;248;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
P8S2G:00389:00847_SUB_SUB;302;0;0;0;0;0;0;0;0;4;0;0;0;0;5;0;1;8;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;3;1;0;0;0;0;0;0;28;0;43;3;0;0;6;3;0;6;3;1;0;0;54;27;36;2;8;0;0;0;0;0;0;15;4;0;0;0;0;0;0;0;0;0;0;0;0;1;32
P8S2G:00032:04670_SUB_SUB;1041;366;0;0;0;52;0;0;22;15;0;107;36;191;0;0;0;9;0;31;209;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
P8S2G:00240:04949_SUB_SUB;107;0;0;0;0;1;0;0;0;0;0;0;0;0;3;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;13;0;11;0;0;0;4;0;0;0;2;0;0;0;12;7;21;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;27
P8S2G:00180:03431_SUB_SUB;145;0;0;0;0;0;0;14;0;0;0;0;1;0;0;0;10;0;10;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;41;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;33;0;0;0;0;0;0;19;0
P8S2G:00057:05916_SUB_SUB;486;44;0;0;0;43;0;0;8;0;0;52;59;75;0;0;1;0;0;14;190;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
P8S2G:05160:01495_SUB_SUB;203;124;0;0;0;9;0;0;0;0;0;9;6;28;0;0;0;2;0;3;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
P8S2G:04175:03053_SUB_SUB;108;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;0;71;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
P8S2G:05254:05238_SUB_SUB;221;0;18;2;0;0;0;0;146;0;0;1;0;0;0;0;1;3;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;16;0;0;0;6;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
P8S2G:04186:06494_SUB_SUB;471;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;56;19;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;1;270;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;96;0;0;0;0;0;0;0;0;0;0;0
P8S2G:04320:06613_SUB_SUB;668;0;0;0;7;0;0;0;0;54;19;0;0;224;0;0;4;11;8;0;5;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17;7;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28;5;11;0;35;0;13;216;0;0;0;0;0;0;0;0
P8S2G:00699:05829_SUB_SUB;1613;0;0;0;27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;213;8;0;0;0;10;17;5;43;0;2;7;0;0;0;49;30;11;0;45;0;0;0;2;5;15;17;5;0;0;0;5;0;0;2;22;1;1;70;7;177;71;205;24;40;17;0;1;16;2;0;204;1;142;4;11;33;4;0;2;0;11;1;14;13
P8S2G:00784:06246_SUB_SUB;16942;2;2;1;336;2;143;26;1;10375;209;0;17;109;1175;7;1729;1622;35;5;1004;0;0;0;0;0;0;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;36;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;47;0;16;11;0;0;0;0;0;0;0;0
P8S2G:00142:02302_SUB_SUB;195;0;0;0;3;0;1;0;0;38;0;0;1;0;0;0;40;103;7;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
P8S2G:00541:01989_SUB_SUB;106;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;5;0;10;0;0;1;0;0;0;5;0;0;0;0;0;0;0;0;3;1;0;2;0;0;0;0;0;0;1;3;0;0;1;2;0;19;16;0;8;0;0;0;1;1;0;5;0;12;0;0;0;0;0;0;0;3;0;0;0
P8S2G:00240:03553_SUB_SUB;473;5;0;0;6;0;0;0;1;0;0;0;1;0;0;0;2;2;0;1;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;7;0;0;0;155;184;39;7;33;0;0;2;0;0;18;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
P8S2G:00386:05795_SUB_SUB;411;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;83;0;15;2;0;0;2;0;0;0;1;0;0;0;11;0;248;0;32;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;8
P8S2G:03640:01916_SUB_SUB;653;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;624;20;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
P8S2G:03711:03306_SUB_SUB;910;0;0;0;33;0;5;1;0;487;10;0;0;2;73;0;117;99;8;0;69;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;3;1;0;0;0;0;0;0;0;0
P8S2G:03633:00430_SUB_SUB;213;0;0;0;0;0;0;0;0;71;0;2;0;0;0;0;0;0;0;0;12;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;10;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;48;20;0;0;0;0;0;0;0;0;21;0;18;0;0;0;0;0;0;0;0;0;0;0
P8S2G:03568:07436_SUB_SUB;14089;0;0;0;111;0;0;0;0;0;11;0;0;0;0;0;0;0;0;2;0;17;1204;1;0;0;30;100;790;0;1275;7;0;343;0;47;0;23;1;0;0;1656;13;1127;0;9;20;12;61;0;3;2;1262;1635;1;0;409;9;682;0;4;4;4;0;35;67;609;702;3;0;121;964;554;0;0;10;0;0;0;28;0;16;0;0;1;104;0
P8S2G:02148:04192_SUB_SUB;769;0;0;0;6;0;1;0;0;0;0;0;0;411;0;0;0;8;9;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;4;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;2;12;0;12;0;0;284;0;0;0;0;0;0;0;0
P8S2G:02849:05969_SUB_SUB;1244;0;0;0;73;0;0;0;0;109;27;21;0;383;0;0;17;41;103;0;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;79;11;0;28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;57;17;86;0;102;0;0;68;0;0;0;0;0;0;0;0
P8S2G:02965:06241_SUB_SUB;106;0;0;0;0;0;0;0;0;7;0;3;5;0;0;0;4;0;0;1;2;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;9;0;1;0;2;0;0;0;0;0;0;0;0;28;0;30;0;0;0;0;0;0;0;0;0;0;0
P8S2G:02206:00094_SUB_SUB;405;0;0;0;3;0;2;0;0;271;4;0;0;1;33;0;43;24;0;0;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0
P8S2G:04645:06768_SUB_SUB;314;25;53;45;0;0;0;0;107;8;0;0;0;0;0;0;24;24;4;0;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
P8S2G:00980:06196_SUB_SUB;208;34;104;47;0;0;0;5;1;14;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
P8S2G:03742:01840_SUB_SUB;3244;6;14;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;8;0;0;4;0;13;0;0;0;0;3;0;1255;1306;195;65;242;0;1;1;0;0;37;0;4;0;1;0;0;0;0;0;0;46;31;0;0;3;0;0;0;0;0;0;0;0;0;0;1
P8S2G:03453:05565_SUB_SUB;870;5;18;6;0;0;0;0;206;2;0;0;1;0;0;0;2;602;0;0;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
P8S2G:02869:05782_SUB_SUB;1135;2;3;0;0;0;0;0;2;0;0;0;0;0;0;0;1;3;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;521;467;30;17;81;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0
P8S2G:03229:05435_SUB_SUB;2767;0;12;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;123;9;0;0;0;0;0;0;0;0;0;5;0;0;0;0;95;0;0;0;185;0;549;0;0;3;5;4;0;546;408;52;14;48;0;389;217;16;0;1;8;0;0;0;2;0;3;0;0;0;3;6;10;0;36;0;1;7;0;0;0;0;0;0;0;3
P8S2G:05236:03907_SUB_SUB;117;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;38;56;5;1;11;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
P8S2G:03095:03628_SUB_SUB;2132;0;0;1;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;257;0;0;0;0;7;31;0;245;0;0;255;0;0;0;18;0;0;0;663;0;115;0;5;2;0;0;0;0;0;15;21;0;0;129;2;37;0;0;1;0;0;1;0;166;47;1;0;23;22;16;0;0;0;0;0;0;0;0;0;0;0;0;9;0
P8S2G:04017:06441_SUB_SUB;551;0;0;0;173;0;4;11;0;13;200;0;0;10;0;0;22;0;2;0;20;1;2;0;0;0;0;0;0;1;0;0;0;4;0;0;0;2;0;10;0;6;0;0;0;0;0;0;0;0;0;0;8;8;0;41;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;8;0;0;1;0;0;0;0;0;0;0;0;0;1;0
P8S2G:04053:06918_SUB_SUB;558;0;0;0;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;35;0;0;10;1;0;0;299;0;0;2;0;0;0;8;7;0;0;0;0;1;15;2;10;15;0;4;0;0;0;0;0;0;0;0;0;0;6;61;12;0;1;0;0;0;0;6;1;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;34
P8S2G:04234:06911_SUB_SUB;1928;0;0;0;526;0;8;12;1;26;765;2;3;26;0;0;89;3;5;1;62;0;2;0;0;0;0;0;0;9;0;0;0;7;0;0;0;9;0;37;0;12;0;0;0;0;0;0;0;0;1;0;59;32;0;191;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;9;24;0;0;5;0;0;0;0;0;0;0;0;0;0;0
P8S2G:04647:06800_SUB_SUB;468;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;90;0;0;0;1;0;6;7;30;1;0;88;0;0;0;1;0;0;0;24;0;29;0;0;0;0;7;0;0;0;26;49;1;0;13;0;7;0;0;0;0;0;2;1;13;33;0;0;1;14;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0
P8S2G:01214:06066_SUB_SUB;229;0;0;0;54;0;2;2;0;3;113;0;0;7;0;0;7;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;7;0;1;0;0;0;0;0;0;0;0;0;0;8;2;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0
P8S2G:00493:01965_SUB_SUB;149;0;0;0;55;0;0;1;0;3;58;0;0;0;0;0;7;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;2;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
